,유비쿼스홀딩스,A078070,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,192.75,270.18,161.08,152.73,197.61,236.81,215.38,329.99,318.87,319.29,210.26,271.72,233.68,482.89,509.53,329.05,318.04,466.68,8.1,62.38
, - 매출원가,108.51,138.97,90.26,98.58,117.91,134.03,124.1,186.94,185.39,173.12,119.15,153.69,128.1,251.33,304.66,207.25,194.27,275.77,0,0
, = 매출총이익,84.24,131.21,70.82,54.15,79.7,102.78,91.28,143.05,133.48,146.17,91.11,118.03,105.58,231.56,204.87,121.8,123.77,190.91,8.1,62.38
, - 판매비와관리비,43.48,68.37,36.18,22.2,37.5,79.39,55.12,86.71,75.73,90.23,55.77,76.39,63.51,136.68,104.63,65.47,74.13,102.05,4.67,35.09
, = 영업이익,40.76,62.84,34.64,31.95,42.2,23.39,36.16,56.34,57.75,55.94,35.34,41.64,42.07,94.88,100.24,56.33,49.64,88.86,3.43,27.29
,* 지배순이익,39.24,61.04,46.25,34.12,53.87,25.36,35.25,57.54,66.46,50.97,35.6,53.47,42.13,83.46,88.42,61.06,49.6,96.02,59.55,70.21
,매출원가비중,56.3,51.44,56.03,64.55,59.67,56.6,57.62,56.65,58.14,54.22,56.67,56.56,54.82,52.05,59.79,62.98,61.08,59.09,0,0
,매출총이익율,43.7,48.56,43.97,35.45,40.33,43.4,42.38,43.35,41.86,45.78,43.33,43.44,45.18,47.95,40.21,37.02,38.92,40.91,100,100
,판관비율,22.56,25.31,22.46,14.54,18.98,33.52,25.59,26.28,23.75,28.26,26.52,28.11,27.18,28.3,20.53,19.9,23.31,21.87,57.65,56.25
,영업이익률,21.15,23.26,21.5,20.92,21.36,9.88,16.79,17.07,18.11,17.52,16.81,15.32,18,19.65,19.67,17.12,15.61,19.04,42.35,43.75
,지배순이익률,20.36,22.59,28.71,22.34,27.26,10.71,16.37,17.44,20.84,15.96,16.93,19.68,18.03,17.28,17.35,18.56,15.6,20.58,735.19,112.55
,매출액YOY(%),,,,,2.52,-12.35,33.71,116.06,61.36,34.83,-2.38,-17.66,-26.72,51.24,142.33,21.1,36.1,-3.36,-98.41,-81.04
,영업이익YOY(%),,,,,3.53,-62.78,4.39,76.34,36.85,139.16,-2.27,-26.09,-27.15,69.61,183.64,35.28,17.99,-6.34,-96.58,-51.55
,지배순이익YOY(%),,,,,37.28,-58.45,-23.78,68.64,23.37,100.99,0.99,-7.07,-36.61,63.74,148.37,14.19,17.73,15.05,-32.65,14.99
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,7.2,-1.08,12.13,17.97,16.2,31.44,21.61,258.14,278.31,304.16,245.53,267.11,285.3,326.58,278.73,297.98,303.24,333.87,0,
, - 매출원가,0,15.46,0.93,1.21,1.13,8.19,5.89,151.05,164.81,169.06,156.6,185.48,192.14,211.05,181.07,183.64,176.14,197.53,,
