,휠라홀딩스,A081660,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,1849.72,2030.78,1717.76,1722.73,1445.67,1818.21,1705.64,1774.42,1793.48,2087.81,1992.64,1954.19,1893.47,2134.45,2151.72,2006.98,1963.83,2034.97,1682.02,2092.28
, - 매출원가,945.8,1005.55,830.29,761.71,736.19,894.28,854.21,796.96,965.38,1055.63,1035.72,949.65,1036.32,1183.1,1186.31,1028.27,1101.65,1152.49,962.17,1099.66
, = 매출총이익,903.92,1025.23,887.47,961.02,709.48,923.93,851.43,977.46,828.1,1032.18,956.92,1004.54,857.15,951.35,965.41,978.71,862.18,882.48,719.85,992.62
, - 판매비와관리비,656.72,693.4,638.75,695.24,548.91,684.57,634.38,682.79,599.52,791.19,660.89,718.9,648.5,806.17,688.84,726.71,670.6,797.01,656.8,744.56
, = 영업이익,247.2,331.83,248.72,265.78,160.57,239.36,217.05,294.67,228.58,240.99,296.03,285.64,208.65,145.18,276.57,252,191.58,85.47,63.05,248.06
,* 지배순이익,-64.56,-309.63,427.73,391.68,332.02,68.85,140.69,375.92,-83.46,533.84,206.79,287.97,209.84,-145.86,-318.68,-319.92,-201.46,-488.13,78.03,155.28
,매출원가비중,51.13,49.52,48.34,44.22,50.92,49.18,50.08,44.91,53.83,50.56,51.98,48.6,54.73,55.43,55.13,51.23,56.1,56.63,57.2,52.56
,매출총이익율,48.87,50.48,51.66,55.78,49.08,50.82,49.92,55.09,46.17,49.44,48.02,51.4,45.27,44.57,44.87,48.77,43.9,43.37,42.8,47.44
,판관비율,35.5,34.14,37.19,40.36,37.97,37.65,37.19,38.48,33.43,37.9,33.17,36.79,34.25,37.77,32.01,36.21,34.15,39.17,39.05,35.59
,영업이익률,13.36,16.34,14.48,15.43,11.11,13.16,12.73,16.61,12.75,11.54,14.86,14.62,11.02,6.8,12.85,12.56,9.76,4.2,3.75,11.86
,지배순이익률,-3.49,-15.25,24.9,22.74,22.97,3.79,8.25,21.19,-4.65,25.57,10.38,14.74,11.08,-6.83,-14.81,-15.94,-10.26,-23.99,4.64,7.42
,매출액YOY(%),,,,,-21.84,-10.47,-0.71,3,24.06,14.83,16.83,10.13,5.58,2.23,7.98,2.7,3.72,-4.66,-21.83,4.25
,영업이익YOY(%),,,,,-35.04,-27.87,-12.73,10.87,42.36,0.68,36.39,-3.06,-8.72,-39.76,-6.57,-11.78,-8.18,-41.13,-77.2,-1.56
,지배순이익YOY(%),,,,,614.28,122.24,-67.11,-4.02,-125.14,675.37,46.98,-23.4,351.43,-127.32,-254.11,-211.09,-196.01,-234.66,124.49,148.54
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1755.37,4141.61,6537.01,6928.67,5692.74,6144.82,6769.17,7901.7,7258.78,7616.78,8345.76,9593.03,8669.86,7895.57,7899.01,6250.11,9174.31,7964.62,8387,
