,키움증권,A039490,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,824.15,964.69,823.82,504.52,726.4,458,602,521.76,721.16,643.51,595.71,698.61,915.96,795.39,1237.18,1413,1120.74,892.36,1254.16,1105.4
, - 매출원가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
, = 매출총이익,824.15,964.69,823.82,504.52,726.4,458,602,521.76,721.16,643.51,595.71,698.61,915.96,795.39,1237.18,1413,1120.74,892.36,1254.16,1105.4
, - 판매비와관리비,401.77,418.17,459.4,399.88,425.89,392.49,444.96,429.74,442.57,478.64,452.74,481.72,529.34,532.19,510.13,579.47,543.08,616.29,560.36,630.69
, = 영업이익,422.38,546.52,364.42,104.64,300.51,65.51,157.04,92.02,278.59,164.87,142.97,216.89,386.62,263.2,727.05,833.53,577.66,276.07,693.8,474.71
,* 지배순이익,298.18,424.8,278.4,83.84,233.05,53.91,143.8,73.49,191.6,97.31,105.88,172.6,306.19,171.14,587.2,666.74,385.39,257.83,504.84,388.85
,매출원가비중,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,매출총이익율,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,판관비율,48.75,43.35,55.76,79.26,58.63,85.7,73.91,82.36,61.37,74.38,76,68.95,57.79,66.91,41.23,41.01,48.46,69.06,44.68,57.06
,영업이익률,51.25,56.65,44.24,20.74,41.37,14.3,26.09,17.64,38.63,25.62,24,31.05,42.21,33.09,58.77,58.99,51.54,30.94,55.32,42.94
,지배순이익률,36.18,44.03,33.79,16.62,32.08,11.77,23.89,14.09,26.57,15.12,17.77,24.71,33.43,21.52,47.46,47.19,34.39,28.89,40.25,35.18
,매출액YOY(%),,,,,-11.86,-52.52,-26.93,3.42,-0.72,40.5,-1.04,33.89,27.01,23.6,107.68,102.26,22.36,12.19,1.37,-21.77
,영업이익YOY(%),,,,,-28.85,-88.01,-56.91,-12.06,-7.29,151.67,-8.96,135.7,38.78,59.64,408.53,284.31,49.41,4.89,-4.57,-43.05
,지배순이익YOY(%),,,,,-21.84,-87.31,-48.35,-12.34,-17.79,80.5,-26.37,134.86,59.81,75.87,454.59,286.29,25.87,50.65,-14.03,-41.68
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,1128.89,1246.9,1394.77,1560.69,1097.15,1839.13,1867.77,1658.51,1583.65,1070.83,2884.81,1606.64,1778.36,2381.02,1125.77,4364.06,4753.84,4447.12,4424,
, - 매출원가,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
, = 매출총이익,1128.89,1246.9,1394.77,1560.69,1097.15,1839.13,1867.77,1658.51,1583.65,1070.83,2884.81,1606.64,1778.36,2381.02,1125.77,4364.06,4753.84,4447.12,,
