,씨젠,A096530,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,103.67,118.86,101.25,130.35,124.57,160.96,134.68,141.76,150.59,162.91,170.69,167.21,149.47,156.73,164.65,164.52,152.43,169.76,172.32,185.21
, - 매출원가,22.5,44.19,24.69,37.88,43.69,59.86,46.11,31.42,35.37,39.23,50.78,42.84,39.52,42.66,43.76,54.62,37.59,47.91,50.96,51.97
, = 매출총이익,81.17,74.67,76.56,92.47,80.88,101.1,88.57,110.34,115.22,123.68,119.91,124.37,109.95,114.07,120.89,109.9,114.84,121.85,121.36,133.24
, - 판매비와관리비,38.78,49.99,51.02,53.03,59.03,65.67,64.94,73.71,72.35,85.92,92.68,86.96,84.49,92.98,90.81,90.4,101.21,98.68,101.95,105.55
, = 영업이익,42.39,24.68,25.54,39.44,21.85,35.43,23.63,36.63,42.87,37.76,27.23,37.41,25.46,21.09,30.08,19.5,13.63,23.17,19.41,27.69
,* 지배순이익,44.64,15.52,22.57,30.12,16.86,21.48,25.09,34.08,24.06,23.01,24.35,17.56,24.47,25.03,17.06,19.64,30.31,0.74,12.21,20.41
,매출원가비중,21.7,37.18,24.39,29.06,35.07,37.19,34.24,22.16,23.49,24.08,29.75,25.62,26.44,27.22,26.58,33.2,24.66,28.22,29.57,28.06
,매출총이익율,78.3,62.82,75.61,70.94,64.93,62.81,65.76,77.84,76.51,75.92,70.25,74.38,73.56,72.78,73.42,66.8,75.34,71.78,70.43,71.94
,판관비율,37.41,42.06,50.39,40.68,47.39,40.8,48.22,52,48.04,52.74,54.3,52.01,56.53,59.32,55.15,54.95,66.4,58.13,59.16,56.99
,영업이익률,40.89,20.76,25.22,30.26,17.54,22.01,17.55,25.84,28.47,23.18,15.95,22.37,17.03,13.46,18.27,11.85,8.94,13.65,11.26,14.95
,지배순이익률,43.06,13.06,22.29,23.11,13.53,13.34,18.63,24.04,15.98,14.12,14.27,10.5,16.37,15.97,10.36,11.94,19.88,0.44,7.09,11.02
,매출액YOY(%),,,,,20.16,35.42,33.02,8.75,20.89,1.21,26.74,17.95,-0.74,-3.79,-3.54,-1.61,1.98,8.31,4.66,12.58
,영업이익YOY(%),,,,,-48.45,43.56,-7.48,-7.12,96.2,6.58,15.23,2.13,-40.61,-44.15,10.47,-47.87,-46.47,9.86,-35.47,42
,지배순이익YOY(%),,,,,-62.23,38.4,11.17,13.15,42.7,7.12,-2.95,-48.47,1.7,8.78,-29.94,11.85,23.87,-97.04,-28.43,3.92
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
,매출액,177.89,201.51,208.24,220.53,200.64,259.78,238.83,247.59,233.55,302.68,274.8,292.99,313.98,337.76,817.72,2748.31,3268.75,4417.38,3482,
, - 매출원가,47.17,62.47,70.42,82.07,55.69,78,80.63,83.57,72.52,109.41,80.01,92.24,97.96,136.4,207.94,682.46,728.36,1056.5,,
