,하이트진로,A000080,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,3637.34,4792.74,4423.09,5382.29,5489.93,5050.95,4231.89,4906.34,5181.47,4654.99,4091.83,4899.91,5041.07,4690.53,4310.27,4793.14,5019.19,4952.2,4092.59,5005.29
, - 매출원가,2218.98,2775.72,2613.48,3077.07,3023.16,2915.56,2410.42,2741.16,2906.25,2688.83,2475.24,2812.35,2842.72,2754.42,2487.43,2736.56,2795.78,2850.75,2334.05,2792.16
, = 매출총이익,1418.36,2017.02,1809.61,2305.22,2466.77,2135.39,1821.47,2165.18,2275.22,1966.16,1616.59,2087.56,2198.35,1936.11,1822.84,2056.58,2223.41,2101.45,1758.54,2213.13
, - 판매비와관리비,1058.39,1943.2,1398.09,1935.38,1828.81,1883.15,1346.34,1729.68,1868.95,1672.56,1510.99,1776.63,1819.78,1794.18,1560.34,1775.72,1741.01,1787.34,1486.58,1937.11
, = 영업이익,359.97,73.82,411.52,369.84,637.96,252.24,475.13,435.5,406.27,293.6,105.6,310.93,378.57,141.93,262.5,280.86,482.4,314.11,271.96,276.02
,* 지배순이익,207.86,-121.22,176.15,535.94,297.79,24.47,175.08,184.56,155.61,274.92,-15.64,82.56,193.27,-48.72,63.34,80.09,246.21,143.06,61.11,101.22
,매출원가비중,61.01,57.92,59.09,57.17,55.07,57.72,56.96,55.87,56.09,57.76,60.49,57.4,56.39,58.72,57.71,57.09,55.7,57.57,57.03,55.78
,매출총이익율,38.99,42.08,40.91,42.83,44.93,42.28,43.04,44.13,43.91,42.24,39.51,42.6,43.61,41.28,42.29,42.91,44.3,42.43,42.97,44.22
,판관비율,29.1,40.54,31.61,35.96,33.31,37.28,31.81,35.25,36.07,35.93,36.93,36.26,36.1,38.25,36.2,37.05,34.69,36.09,36.32,38.7
,영업이익률,9.9,1.54,9.3,6.87,11.62,4.99,11.23,8.88,7.84,6.31,2.58,6.35,7.51,3.03,6.09,5.86,9.61,6.34,6.65,5.51
,지배순이익률,5.71,-2.53,3.98,9.96,5.42,0.48,4.14,3.76,3,5.91,-0.38,1.68,3.83,-1.04,1.47,1.67,4.91,2.89,1.49,2.02
,매출액YOY(%),,,,,50.93,5.39,-4.32,-8.84,-5.62,-7.84,-3.31,-0.13,-2.71,0.76,5.34,-2.18,-0.43,5.58,-5.05,4.43
,영업이익YOY(%),,,,,77.23,241.7,15.46,17.75,-36.32,16.4,-77.77,-28.6,-6.82,-51.66,148.58,-9.67,27.43,121.31,3.6,-1.72
,지배순이익YOY(%),,,,,43.26,120.19,-0.61,-65.56,-47.75,1023.5,-108.93,-55.27,24.2,-117.72,504.99,-2.99,27.39,393.64,-3.52,26.38
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
