,DB손해보험,A005830,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,21200.32,23864.23,25270.83,23943.77,23810.32,24255.89,24262.53,28128.18,28282.48,29065.41,28689.68,29555.79,29560.45,30565.14,30754.68,31386.26,31464.03,32754.2,32570.83,32886.4
, - 매출원가,6935.27,8250.02,9661.61,7980.84,7103.53,6696.98,5138.25,8387,8244.75,7833.5,7700.57,7846.74,8083.88,9133.19,8014.21,7510.68,8226.99,8263.13,7771.88,7383.25
, = 매출총이익,14265.05,15614.21,15609.22,15962.93,16706.79,17558.91,19124.28,19741.18,20037.73,21231.91,20989.11,21709.05,21476.57,21431.95,22740.47,23875.58,23237.04,24491.07,24798.95,25503.15
, - 판매비와관리비,13280.13,14112.39,14725.91,14648.51,14842.28,16161.8,18010.05,18737.8,18214.23,20340.42,19469.74,19582.67,20191.87,21074.4,20946.53,21762.86,22018.66,23953.92,23270.02,23341.19
, = 영업이익,984.92,1501.82,883.31,1314.42,1864.51,1397.11,1114.23,1003.38,1823.5,891.49,1519.37,2126.38,1284.7,357.55,1793.94,2112.72,1218.38,537.15,1528.93,2161.96
,* 지배순이익,733.53,1022.14,717.76,1026.15,1486.95,1136.8,1292.45,906.56,1427.37,366.7,1107.61,1618.34,934.64,559.92,1172.66,1816.13,897.18,301.96,1119.34,1528.84
,매출원가비중,32.71,34.57,38.23,33.33,29.83,27.61,21.18,29.82,29.15,26.95,26.84,26.55,27.35,29.88,26.06,23.93,26.15,25.23,23.86,22.45
,매출총이익율,67.29,65.43,61.77,66.67,70.17,72.39,78.82,70.18,70.85,73.05,73.16,73.45,72.65,70.12,73.94,76.07,73.85,74.77,76.14,77.55
,판관비율,62.64,59.14,58.27,61.18,62.34,66.63,74.23,66.62,64.4,69.98,67.86,66.26,68.31,68.95,68.11,69.34,69.98,73.13,71.44,70.98
,영업이익률,4.65,6.29,3.5,5.49,7.83,5.76,4.59,3.57,6.45,3.07,5.3,7.19,4.35,1.17,5.83,6.73,3.87,1.64,4.69,6.57
,지배순이익률,3.46,4.28,2.84,4.29,6.24,4.69,5.33,3.22,5.05,1.26,3.86,5.48,3.16,1.83,3.81,5.79,2.85,0.92,3.44,4.65
,매출액YOY(%),,,,,12.31,1.64,-3.99,17.48,18.78,19.83,18.25,5.08,4.52,5.16,7.2,6.19,6.44,7.16,5.91,4.78
,영업이익YOY(%),,,,,89.31,-6.97,26.14,-23.66,-2.2,-36.19,36.36,111.92,-29.55,-59.89,18.07,-0.64,-5.16,50.23,-14.77,2.33
,지배순이익YOY(%),,,,,102.71,11.22,80.07,-11.65,-4.01,-67.74,-14.3,78.51,-34.52,52.69,5.87,12.22,-4.01,-46.07,-4.55,-15.82
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
