,롯데쇼핑,A023530,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,연결 분기,11.3Q,11.4Q,12.1Q,12.2Q,12.3Q,12.4Q,13.1Q,13.2Q,13.3Q,13.4Q,14.1Q,14.2Q,14.3Q,14.4Q,15.1Q,15.2Q,15.3Q,15.4Q,16.1Q,16.2Q
,매출액,55033.24,58736.28,59919.03,58741.18,60549.37,71227.22,68898.53,69773.78,69707.3,73737.41,67858.8,69214.51,69827.37,74094.99,69353.73,72279.75,74839.57,74803.49,71788.76,72303.89
, - 매출원가,37296.98,41343.73,41992.88,40470.36,42256.42,49435.26,48333.95,48072.65,48065.91,50997.69,46608.79,47514.75,48071.03,51172.14,47650.29,49702.78,52443.01,52375.35,49578.73,49500.39
, = 매출총이익,17736.26,17392.55,17926.15,18270.82,18292.95,21791.96,20564.58,21701.13,21641.39,22739.72,21250.01,21699.76,21756.34,22922.85,21703.44,22576.97,22396.56,22428.14,22210.03,22803.5
, - 판매비와관리비,14188.12,12839.76,14286.29,14662.98,15403.71,17254.22,17113.99,18129.78,18016.43,18534.01,17855.61,18576.63,18708,20604.93,19031.64,20554.77,20443.21,20538.35,20128.73,21093.19
, = 영업이익,3548.14,4552.79,3639.86,3607.84,2889.24,4537.74,3450.59,3571.35,3624.96,4205.71,3394.4,3123.13,3048.34,2317.92,2671.8,2022.2,1953.35,1889.79,2081.3,1710.31
,* 지배순이익,858.82,2451.18,3102.79,1936.47,2074.83,3688.51,1844.35,2036.37,2889.79,1113.94,1289.86,2198.25,2519.79,-741.4,1061.89,645.69,17.69,-5555.94,579.75,648.03
,매출원가비중,67.77,70.39,70.08,68.9,69.79,69.41,70.15,68.9,68.95,69.16,68.68,68.65,68.84,69.06,68.71,68.76,70.07,70.02,69.06,68.46
,매출총이익율,32.23,29.61,29.92,31.1,30.21,30.59,29.85,31.1,31.05,30.84,31.32,31.35,31.16,30.94,31.29,31.24,29.93,29.98,30.94,31.54
,판관비율,25.78,21.86,23.84,24.96,25.44,24.22,24.84,25.98,25.85,25.14,26.31,26.84,26.79,27.81,27.44,28.44,27.32,27.46,28.04,29.17
,영업이익률,6.45,7.75,6.07,6.14,4.77,6.37,5.01,5.12,5.2,5.7,5,4.51,4.37,3.13,3.85,2.8,2.61,2.53,2.9,2.37
,지배순이익률,1.56,4.17,5.18,3.3,3.43,5.18,2.68,2.92,4.15,1.51,1.9,3.18,3.61,-1,1.53,0.89,0.02,-7.43,0.81,0.9
,매출액YOY(%),,,,,10.02,21.27,14.99,18.78,15.12,3.52,-1.51,-0.8,0.17,0.48,2.2,4.43,7.18,0.96,3.51,0.03
,영업이익YOY(%),,,,,-18.57,-0.33,-5.2,-1.01,25.46,-7.32,-1.63,-12.55,-15.91,-44.89,-21.29,-35.25,-35.92,-18.47,-22.1,-15.42
,지배순이익YOY(%),,,,,141.59,50.48,-40.56,5.16,39.28,-69.8,-30.06,7.95,-12.8,-166.56,-17.67,-70.63,-99.3,-649.38,-45.4,0.36
, ,16.3Q,16.4Q,17.1Q,17.2Q,17.3Q,17.4Q,18.1Q,18.2Q,18.3Q,18.4Q,19.1Q,19.2Q,19.3Q,19.4Q,20.1Q,20.2Q,20.3Q,20.4Q,21.1Q,
